"Indicator_Type","Unique_Item","File_Hash","Malware_Family","Meaningful_Name","Last_Observation_Date"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fopen","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fputc","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fread","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fseek","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!ftell","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fwrite","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!puts","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-string-l1-1-0.dll!strcat","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-string-l1-1-0.dll!strcmp","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-string-l1-1-0.dll!strcpy","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
