"Timestamp","Repo","Score","Method","Risk","URL"
"2026-01-28 17:53:01","egmontkob/eb114294efbcd5adb1944c9f3cb5feda",,"Local-CLI","High","https://github.com/egmontkob/eb114294efbcd5adb1944c9f3cb5feda"
"2026-01-28 17:53:01","pgbouncer/pgbouncer","5.1","API","Medium","https://github.com/pgbouncer/pgbouncer"
"2026-01-28 17:53:22","serilog/serilog-sinks-file","4.6","Local-CLI","High","https://github.com/serilog/serilog-sinks-file"
"2026-01-28 17:53:22","sirupsen/logrus","4.7","API","High","https://github.com/sirupsen/logrus"
"2026-01-28 17:53:22","kardianos/service","3.8","API","High","https://github.com/kardianos/service."
"2026-01-28 17:53:23","hashicorp/yamux.Session",,"Local-CLI","High","https://github.com/hashicorp/yamux.Session"
"2026-01-28 17:53:24","hashicorp/yamux.header",,"Local-CLI","High","https://github.com/hashicorp/yamux.header"
"2026-01-28 17:53:24","sirupsen/logrus.Logger",,"Local-CLI","High","https://github.com/sirupsen/logrus.Logger"
"2026-01-28 17:53:25","sirupsen/logrus.Entry",,"Local-CLI","High","https://github.com/sirupsen/logrus.Entry"
"2026-01-28 17:53:26","sirupsen/logrus.Level",,"Local-CLI","High","https://github.com/sirupsen/logrus.Level"
"2026-01-28 17:53:26","sirupsen/logrus.Hook",,"Local-CLI","High","https://github.com/sirupsen/logrus.Hook"
"2026-01-28 17:53:27","pires/go-proxyproto.ErrUnsupportedProtocolVersionAndCommand",,"Local-CLI","High","https://github.com/pires/go-proxyproto.ErrUnsupportedProtocolVersionAndCommand"
"2026-01-28 17:53:27","fullsailor/pkcs7.cert2issuerAndSerial",,"Local-CLI","High","https://github.com/fullsailor/pkcs7.cert2issuerAndSerial"
"2026-01-28 17:53:28","fullsailor/pkcs7.issuerAndSerial",,"Local-CLI","High","https://github.com/fullsailor/pkcs7.issuerAndSerial"
"2026-01-28 17:53:29","fullsailor/pkcs7.encryptKey",,"Local-CLI","High","https://github.com/fullsailor/pkcs7.encryptKey"
"2026-01-28 17:53:29","kardianos/service.consoleLogger.Errorf",,"Local-CLI","High","https://github.com/kardianos/service.consoleLogger.Errorf"
"2026-01-28 17:53:30","kardianos/service.WindowsLogger.send",,"Local-CLI","High","https://github.com/kardianos/service.WindowsLogger.send"
"2026-01-28 17:53:31","kardianos/service.ConsoleLogger",,"Local-CLI","High","https://github.com/kardianos/service.ConsoleLogger"
"2026-01-28 17:53:31","fullsailor/pkcs7.oidEncryptionAlgorithmRSA",,"Local-CLI","High","https://github.com/fullsailor/pkcs7.oidEncryptionAlgorithmRSA"
"2026-01-28 17:53:32","mitchellh/mapstructure.DecodeHookFuncType",,"Local-CLI","High","https://github.com/mitchellh/mapstructure.DecodeHookFuncType"
"2026-01-28 17:53:32","fullsailor/pkcs7.marshalEncryptedContent",,"Local-CLI","High","https://github.com/fullsailor/pkcs7.marshalEncryptedContent"
"2026-01-28 17:53:33","hashicorp/yamux.ErrRecvWindowExceeded",,"Local-CLI","High","https://github.com/hashicorp/yamux.ErrRecvWindowExceeded"
"2026-01-28 17:53:33","hashicorp/yamux.ErrInvalidMsgType",,"Local-CLI","High","https://github.com/hashicorp/yamux.ErrInvalidMsgType"
"2026-01-28 17:53:34","kardianos/service.WindowsLogger",,"Local-CLI","High","https://github.com/kardianos/service.WindowsLogger"
"2026-01-28 17:53:34","hashicorp/yamux.ErrRemoteGoAway",,"Local-CLI","High","https://github.com/hashicorp/yamux.ErrRemoteGoAway"
"2026-01-28 17:53:35","hashicorp/yamux.ErrStreamClosed",,"Local-CLI","High","https://github.com/hashicorp/yamux.ErrStreamClosed"
"2026-01-28 17:53:36","hashicorp/yamux.goAwayProtoErr",,"Local-CLI","High","https://github.com/hashicorp/yamux.goAwayProtoErr"
"2026-01-28 17:53:36","kardianos/service.Logger",,"Local-CLI","High","https://github.com/kardianos/service.Logger"
"2026-01-28 17:53:37","sirupsen/logrus.fieldKey",,"Local-CLI","High","https://github.com/sirupsen/logrus.fieldKey"
"2026-01-28 17:53:37","sirupsen/logrus.TextFormatter",,"Local-CLI","High","https://github.com/sirupsen/logrus.TextFormatter"
"2026-01-28 17:53:38","sirupsen/logrus.FieldMap",,"Local-CLI","High","https://github.com/sirupsen/logrus.FieldMap"
"2026-01-28 17:53:39","sirupsen/logrus.exitFunc",,"Local-CLI","High","https://github.com/sirupsen/logrus.exitFunc"
"2026-01-28 17:53:39","sirupsen/logrus.blue",,"Local-CLI","High","https://github.com/sirupsen/logrus.blue"
"2026-01-28 17:53:40","sirupsen/logrus.putBuffer",,"Local-CLI","High","https://github.com/sirupsen/logrus.putBuffer"
"2026-01-28 17:53:40","mitchellh/mapstructure.DecodeHookFuncKind",,"Local-CLI","High","https://github.com/mitchellh/mapstructure.DecodeHookFuncKind"
"2026-01-28 17:53:41","pires/go-proxyproto","4.3","API","High","https://github.com/pires/go-proxyproto."
"2026-01-28 17:53:41","mitchellh/mapstructure.Error",,"Local-CLI","High","https://github.com/mitchellh/mapstructure.Error"
"2026-01-28 17:53:42","sirupsen/logrus","4.7","API","High","https://github.com/sirupsen/logrus."
"2026-01-28 17:53:42","sirupsen/logrus.checkIfTerminal",,"Local-CLI","High","https://github.com/sirupsen/logrus.checkIfTerminal"
"2026-01-28 17:53:43","sirupsen/logrus.Entry.HasCaller",,"Local-CLI","High","https://github.com/sirupsen/logrus.Entry.HasCaller"
"2026-01-28 17:53:44","sirupsen/logrus.logrusPackage",,"Local-CLI","High","https://github.com/sirupsen/logrus.logrusPackage"
"2026-01-28 17:53:44","sirupsen/logrus.bufferPool",,"Local-CLI","High","https://github.com/sirupsen/logrus.bufferPool"
"2026-01-28 17:53:45","sirupsen/logrus.SetOutput",,"Local-CLI","High","https://github.com/sirupsen/logrus.SetOutput"
"2026-01-28 17:53:45","sirupsen/logrus.getCaller",,"Local-CLI","High","https://github.com/sirupsen/logrus.getCaller"
"2026-01-28 17:53:46","sirupsen/logrus.NewEntry",,"Local-CLI","High","https://github.com/sirupsen/logrus.NewEntry"
"2026-01-28 17:53:46","sirupsen/logrus.init.1",,"Local-CLI","High","https://github.com/sirupsen/logrus.init.1"
"2026-01-28 17:53:47","sirupsen/logrus.init.2",,"Local-CLI","High","https://github.com/sirupsen/logrus.init.2"
"2026-01-28 17:54:13","DataDog/opentelemetry-mapping-go","5.4","Local-CLI","Medium","https://github.com/DataDog/opentelemetry-mapping-go"
"2026-01-28 17:54:26","plashenkov/TBX","2.8","Local-CLI","High","https://github.com/plashenkov/TBX"
"2026-01-28 17:55:15","googleapis/google-cloud-rust","8.5","Local-CLI","Low","https://github.com/googleapis/google-cloud-rust"
"2026-01-28 17:55:36","twogood/unshield","5.2","Local-CLI","Medium","https://github.com/twogood/unshield"
"2026-01-28 17:55:37","winsw/winsw","4.8","API","High","https://github.com/winsw/winsw"
"2026-01-28 17:56:22","libsdl-org/SDL","5.4","Local-CLI","Medium","https://github.com/libsdl-org/SDL"
"2026-01-28 17:56:28","viiri/st2play","2.6","Local-CLI","High","https://github.com/viiri/st2play"
"2026-01-28 17:56:28","richgel999/miniz","4.1","API","High","https://github.com/richgel999/miniz"
"2026-01-28 17:56:28","lieff/minimp3","4.2","API","High","https://github.com/lieff/minimp3"
"2026-01-28 17:56:29","nothings/stb","5.3","API","Medium","https://github.com/nothings/stb"
"2026-01-28 17:56:33","iamgreaser/it2everything","2.4","Local-CLI","High","https://github.com/iamgreaser/it2everything"
"2026-01-28 17:56:37","ryuhei-mori/tinyfft","2.8","Local-CLI","High","https://github.com/ryuhei-mori/tinyfft"
"2026-01-28 17:56:37","kubernetes/kubernetes","7.7","API","Medium","https://github.com/kubernetes/kubernetes"
"2026-01-28 17:57:29","OctopusDeploy/Calamari","6.4","Local-CLI","Medium","https://github.com/OctopusDeploy/Calamari"
"2026-01-28 17:57:35","pbatard/bled","3.0","Local-CLI","High","https://github.com/pbatard/bled"
"2026-01-28 17:57:43","pbatard/Fido","3.8","Local-CLI","High","https://github.com/pbatard/Fido"
"2026-01-28 17:57:44","weidai11/cryptopp","4.5","API","High","https://github.com/weidai11/cryptopp"
"2026-01-28 17:57:44","containerd/containerd","9.2","API","Low","https://github.com/containerd/containerd"
"2026-01-28 17:57:44","Microsoft/hcsshim","5.8","API","Medium","https://github.com/Microsoft/hcsshim"
"2026-01-28 17:57:44","hashicorp/go-hclog","6.8","API","Medium","https://github.com/hashicorp/go-hclog"
"2026-01-28 17:57:45","repos/QL-Win",,"Local-CLI","High","https://github.com/repos/QL-Win"
"2026-01-28 17:57:45","QL-Win/QuickLook","4.6","API","High","https://github.com/QL-Win/QuickLook"
"2026-01-28 17:57:46","v8/v8","3.7","API","High","https://github.com/v8/v8"
"2026-01-28 17:57:46","WebBluetoothCG/web-bluetooth","4.8","API","High","https://github.com/WebBluetoothCG/web-bluetooth"
"2026-01-28 17:58:06","WICG/feature-policy","4.2","Local-CLI","High","https://github.com/WICG/feature-policy"
